team_id,shortName,teamName,head_coach,won,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,away_goals,home_goals
5,Pittsburgh,Penguins,Ivan Hlinka,42,288.0,2528.0,0.0,1653.0,394.0,76.0,0.0,0.0,0.0,0.0,278,283
5,Pittsburgh,Penguins,Michel Therrien,135,836.0,7605.0,5150.0,4229.0,1383.0,275.0,0.0,2072.0,1486.0,4020.0,781,904
5,Pittsburgh,Penguins,Mike Johnston,59,291.0,3584.0,3337.0,1403.0,363.0,66.0,5712.6,831.0,637.0,1567.0,285,299
5,Pittsburgh,Penguins,Mike Sullivan,508,2933.0,30040.0,25126.0,7532.0,2731.0,610.0,45328.5,8652.0,6581.0,13174.0,2661,2902
5,Pittsburgh,Penguins,Rick Kehoe,55,380.0,4160.0,470.0,2305.0,676.0,113.0,0.0,211.0,109.0,320.0,420,447
6,Boston,Bruins,Bruce Cassidy,527,2780.0,28604.0,22119.0,8353.0,2764.0,720.0,45078.7,8793.0,7066.0,11779.0,2458,2578
6,Boston,Bruins,Claude Julien,459,2338.0,26228.0,19755.0,9790.0,2591.0,479.0,30654.5,5865.0,4780.0,10827.0,2143,2276
6,Boston,Bruins,Dave Lewis,35,210.0,2370.0,1379.0,1256.0,412.0,71.0,0.0,655.0,488.0,1035.0,251,257
6,Boston,Bruins,Mike Keenan,33,206.0,2162.0,0.0,1170.0,336.0,53.0,0.0,0.0,0.0,0.0,198,229
6,Boston,Bruins,Mike O'Connell,3,25.0,261.0,127.0,138.0,33.0,3.0,0.0,58.0,38.0,74.0,23,26
6,Boston,Bruins,Mike Sullivan,70,437.0,5011.0,2306.0,2382.0,718.0,110.0,0.0,1265.0,1049.0,1927.0,454,439
6,Boston,Bruins,Pat Burns,3,21.0,197.0,0.0,155.0,54.0,11.0,0.0,0.0,0.0,0.0,19,30
6,Boston,Bruins,Robbie Ftorek,76,456.0,4952.0,411.0,2686.0,575.0,95.0,0.0,144.0,95.0,186.0,404,466
7,Buffalo,Sabres,Dan Bylsma,68,398.0,4910.0,3788.0,1490.0,487.0,105.0,8115.5,1146.0,906.0,2216.0,421,440
7,Buffalo,Sabres,Lindy Ruff,466,2654.0,27453.0,12038.0,12658.0,4020.0,700.0,9074.6,7276.0,4084.0,9475.0,2458,2765
7,Buffalo,Sabres,Phil Housley,157,1082.0,13346.0,8027.0,2953.0,1201.0,233.0,19900.6,3697.0,2457.0,5094.0,1179,1288
7,Buffalo,Sabres,Ralph Krueger,120,772.0,8084.0,5268.0,1916.0,784.0,148.0,12632.8,2168.0,1452.0,3036.0,744,904
7,Buffalo,Sabres,Ron Rolston,19,105.0,1326.0,1244.0,622.0,160.0,23.0,2366.4,378.0,287.0,739.0,137,127
7,Buffalo,Sabres,Ted Nolan,40,270.0,3645.0,3659.0,1515.0,421.0,58.0,6621.7,911.0,719.0,2503.0,335,406
8,Montreal,Canadiens,Alain Vigneault,5,48.0,603.0,0.0,265.0,128.0,22.0,0.0,0.0,0.0,0.0,52,61
8,Montreal,Canadiens,Bob Gainey,31,188.0,1752.0,1289.0,988.0,310.0,71.0,0.0,709.0,665.0,896.0,175,180
8,Montreal,Canadiens,Claude Julien,436,2584.0,30121.0,23174.0,8405.0,2813.0,450.0,37699.8,11342.0,6656.0,12561.0,2569,2697
8,Montreal,Canadiens,Guy Carbonneau,122,675.0,6734.0,5315.0,3138.0,1035.0,224.0,0.0,2464.0,1890.0,3638.0,631,734
8,Montreal,Canadiens,Jacques Martin,99,521.0,6129.0,4026.0,2421.0,710.0,136.0,5909.3,2022.0,1309.0,3292.0,512,553
8,Montreal,Canadiens,Michel Therrien,288,1521.0,16183.0,8787.0,6699.0,2059.0,347.0,19495.4,3755.0,2270.0,6228.0,1462,1594
8,Montreal,Canadiens,Randy Cunneyworth,18,126.0,1388.0,1205.0,620.0,169.0,27.0,2381.0,463.0,279.0,809.0,126,146
9,Ottawa,Senators,Bryan Murray,108,661.0,6086.0,4070.0,3019.0,980.0,192.0,0.0,1939.0,1458.0,2624.0,549,614
9,Ottawa,Senators,Cory Clouston,95,508.0,5813.0,4384.0,2693.0,680.0,123.0,4187.7,1772.0,1612.0,2765.0,516,585
9,Ottawa,Senators,Craig Hartsburg,17,115.0,1412.0,1136.0,695.0,206.0,37.0,0.0,465.0,378.0,690.0,112,146
9,Ottawa,Senators,D.J. Smith,100,760.0,8696.0,7916.0,2728.0,844.0,120.0,14255.2,2996.0,1792.0,4280.0,768,968
9,Ottawa,Senators,Dave Cameron,72,406.0,4285.0,4080.0,1466.0,440.0,70.0,7096.4,1321.0,1071.0,2030.0,394,422
9,Ottawa,Senators,Guy Boucher,171,1236.0,13232.0,10221.0,3997.0,1269.0,239.0,22209.4,4797.0,3108.0,7379.0,1261,1494
9,Ottawa,Senators,Jacques Martin,181,1036.0,9763.0,2606.0,4768.0,1464.0,288.0,0.0,1323.0,822.0,1168.0,871,944
9,Ottawa,Senators,John Paddock,35,195.0,1847.0,1340.0,791.0,241.0,42.0,0.0,612.0,451.0,730.0,193,187
9,Ottawa,Senators,Marc Crawford,28,204.0,2036.0,1672.0,508.0,196.0,36.0,3352.0,940.0,572.0,1140.0,204,252
9,Ottawa,Senators,Paul MacLean,122,696.0,8177.0,6956.0,3598.0,868.0,156.0,12868.1,2278.0,1816.0,3179.0,723,720
